product,type,fired at (UTC),change %,old,new,delivery,delivery error
"Apple iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black",offer_change,2026-07-13T20:20:05.294Z,,"{""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹1,797.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,780.19 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,780.19 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹2,780.19 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""price"":59900,""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹1,797.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,780.19 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹2,780.19 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,780.19 EMI interest savings on select Credit Cards…""}]}",delivered,
"Apple iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black",auto_paused,2026-07-14T06:03:46.629Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""captcha"",""consecutiveFailures"":5}",delivered,
Galaxy M07,offer_change,2026-07-14T20:20:48.531Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}],""price"":10999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
OnePlus Ce6,offer_change,2026-07-14T20:26:21.474Z,,"{""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 SeriesJio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,233.34 EMI interest savings on select Credit Cards…""}],""price"":39999,""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 SeriesJio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,233.34 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}",delivered,
HP 15 - i5,offer_change,2026-07-14T20:51:06.358Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products'Buy a Laptop or Monitor and get Logitech M196 Blu…""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""}],""price"":74990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products'Buy a Laptop or Monitor and get Logitech M196 Blu…""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
Redmi A7 Pro,offer_change,2026-07-14T20:52:19.522Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹454.00 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}","{""added"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for freeGet GST invoice and save up to 18% on business purchases.""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹454.00 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹454.00 EMI interest savings on select Credit Cards…""}],""price"":13999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for freeGet GST invoice and save up to 18% on business purchases.""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹454.00 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹454.00 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹454.00 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}",delivered,
HP Omen - i7,auto_paused,2026-07-14T20:52:50.762Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Galaxy M07,offer_change,2026-07-14T20:52:52.898Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":10999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹286.75 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cardsUpto ₹286.75 EMI interest savings on Amazon Pay ICICI…""},{""type"":""bank_offer"",""description"":""Upto ₹329.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹329.00 cashback as Amazon Pay Balance when…""}]}",delivered,
OnePlus Ce6,offer_change,2026-07-14T20:54:13.423Z,,"{""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 SeriesJio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,233.34 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""price"":39999,""offers"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}],""removed"":[{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards 6 offers""},{""type"":""other"",""description"":""Jio OnePlus Nord CE6 SeriesJio OnePlus Nord CE6 Series""},{""type"":""bank_offer"",""description"":""Upto ₹1,199.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹1,199.00 cashback as Amazon Pay Balance when…""},{""type"":""other"",""description"":""Upto ₹2,000.00 discount on select Credit CardsUpto ₹2,000.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,233.34 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹2,233.34 EMI interest savings on select Credit Cards…""}]}",delivered,
HP 15 - Ultra 7,auto_paused,2026-07-14T20:57:02.474Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Dell 15 - i5,auto_paused,2026-07-14T20:57:51.535Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Pixel 10,auto_paused,2026-07-14T21:19:20.518Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""fetch_timeout"",""consecutiveFailures"":5}",delivered,
iPhone 16,auto_paused,2026-07-14T21:19:32.475Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Oppo K13 5G,auto_paused,2026-07-14T21:21:51.543Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Lenovo LOQ - i7,auto_paused,2026-07-14T21:22:56.261Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Lenovo LOQ Ryzen 5,auto_paused,2026-07-14T21:23:11.295Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
M06 4/128,offer_change,2026-07-14T21:23:43.931Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹364.96 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""}],""price"":13999,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹364.96 EMI interest savings on Amazon Pay ICICI Bank Credit Cards, Bajaj Finserv EMI cards""},{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹419.00 cashback as Amazon Pay Balance when…""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹419.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
HP 15 - i5,offer_change,2026-07-14T21:24:06.036Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products'Buy a Laptop or Monitor and get Logitech M196 Blu…""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}],""price"":74990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products'Buy a Laptop or Monitor and get Logitech M196 Blu…""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit CardsUpto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""}]}",delivered,
Moto Edge 70 Fusion,auto_paused,2026-07-14T21:26:51.197Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
T4x 5G,auto_paused,2026-07-14T21:29:31.415Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
Narzo 100 Lite,offer_change,2026-07-14T21:33:39.524Z,,"{""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}","{""added"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for freeGet GST invoice and save up to 18% on business purchases.""},{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹487.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹526.97 EMI interest savings on select Credit Cards…""}],""price"":16249,""offers"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for freeGet GST invoice and save up to 18% on business purchases.""},{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹487.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay LaterUpto ₹526.97 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""other"",""description"":""Get GST invoice and save up to 18% on business purchases. Sign up for free""},{""type"":""bank_offer"",""description"":""Upto ₹487.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹526.97 EMI interest savings on select Credit Cards, Bajaj Finserv EMI cards, Amazon Pay Later""}]}",delivered,
HP Victus - i5,auto_paused,2026-07-14T21:56:41.823Z,,"{""status"":""active""}","{""status"":""paused_auto"",""failureReason"":""http_error"",""consecutiveFailures"":5}",delivered,
HP 15 - i5,offer_change,2026-07-14T22:37:16.177Z,,"{""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}]}","{""added"":[{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""}],""price"":74990,""offers"":[{""type"":""other"",""description"":""'Buy a Laptop or Monitor and get Logitech M196 Bluetooth Mouse at Special Price of Rs 99/- only' Offered by Clicktech Retail Private Ltd View products""},{""type"":""bank_offer"",""description"":""Bank Offer Upto ₹2,200.00 discount on select Credit Cards 19 offers""},{""type"":""other"",""description"":""Upto ₹2,200.00 discount on select Credit Cards""},{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit CardsUpto ₹2,249.00 cashback as Amazon Pay Balance when…""},{""type"":""bank_offer"",""description"":""Upto ₹5,885.59 EMI interest savings on select Credit Cards, HDFC Bank Debit Cards, Amazon Pay LaterUpto ₹5,885.59 EMI interest savings on select Credit Cards…""}],""removed"":[{""type"":""bank_offer"",""description"":""Upto ₹2,249.00 cashback as Amazon Pay Balance when you pay with Amazon Pay ICICI Bank Credit Cards""}]}",delivered,
